MODELO,CABALLOS_FISCALES
"RENAULT MEGANE","11,64"
"CITROEN XSARA 1.6","11,59"
"CITROEN C5","13,3"
"OPEL CORSA TR 1.2 S","9,7"
"CITROEN XSARA 1.6","11,59"
"FORD FOCUS","11,63"
"PEUGEOT 307","13,31"
"FORD FOCUS","12,3"
"OPEL ASTRA","12,94"
"SEAT LEON 1.9","12,89"
"SEAT IBIZA II 1.4","10,7"
"B.M.W. 523 I","17,88"
"RENAULT MEGANE","11,02"
"SEAT IBIZA 1.9","12,89"
"PEUGEOT 306 BREAK","12,78"
"CITROEN C2 1.4","10,56"
"CITROEN C4 16 I VTR PLUS L","11,59"
"MAZDA MAZDA 3","11,47"
"KIA KIA SORENTO","15,21"
"HYUNDAI ATOS PRIME","9,23"
"SEAT TOLEDO 1.9 TDI 5V","12,89"
"ALFA ROMEO 156","12,95"
"B.M.W. COOPER MAN","11,64"
"PEUGEOT 206 1.4","10,56"
"JAGUAR X TYPE 3 0 V6 EXEC","19,84"
"SEAT LEON 1.9 TDI","12,89"
"RENAULT LAGUNA","12,78"
"CITROEN SAXO 1.6I","11,59"
"B.M.W. 530DA AUTOM","19,95"
"SEAT LEON 1.9 TDI","12,89"
"PEUGEOT 206 XR 75","10,57"
"SEAT CORDOBA 1.9SDI 4P","12,89"
"HYUNDAI ELANTRA","11,64"
"SUZUKI GRAND VITARA","13,31"
"RENAULT LAGUNA","14,05"
"PEUGEOT 306 BREAK BLD 1.9","12,74"
"MERCEDES-BENZ C 240","17,46"
"NISSAN TERRANO II","14,81"
"OPEL CORSA","12,01"
"OPEL ASTRA","12,01"
"FORD MONDEO","12,49"
"FORD FOCUS","12,3"
"FIAT STILO","12,95"
"DAEWOO KALOS","10,74"
"OPEL CORSA 1.2","9,78"
"RENAULT MEGANE","12,78"
"NISSAN MICRA","10,16"
"SEAT LEON","12,89"
"SEAT IBIZA 1.4 5V 5P","10,7"
"PEUGEOT 206 GTI","13,31"
"PEUGEOT 206 XS PS75","10,57"
"OPEL ASTRA 2.0","13,29"
"MERCEDES A160","11,64"
"CHRYSLER 150 GT","10,4"
"MORRIS MINI 850","7,9"
"AUDI 100","15,9"
"A.U.D.I. A6","17,88"
"B.M.W. SERIE 3 320D M","13,3"
"CITROEN JUMPY","13,3"
"PEUGEOT 307","11,59"
"SEAT IBIZA II","10,7"
"HYUNDAI ACCENT 1,3 LS","10,47"
"OPEL ASTRA","12,02"
"MITSUBISHI CARISMA","11,63"
"MITSUBISHI MONTERO SP","15,14"
"CITROEN XSARA 1.6 I 1","11,59"
"CITROEN XSARA 20 HDI","13,3"
"SEAT CORDOBA 1.9TDI 4","12,89"
"SUZUKI GRAND VITARA","13,31"
"PEUGEOT 406 STDT HDI","13,31"
"FORD SIERRA 1.8 TD","12,3"
"FIAT PUNTO TD (SOFT)","12,06"
"PEUGEOT 306 XTDT","12,93"
"OPEL OPEL ASTRA","11,69"
"RENAULT 12 SLE","10,21"
"CITROEN ZX 1.4I","10,56"
"ROVER ROVER 416 GSI","11,6"
"B.M.W. 523 I","18,77"
"OPEL CORSA-B","12,02"
"FIAT BRAVA 1.6 16V EL","11,56"
"PEUGEOT 206 XR 60","9,42"
"RENAULT MEGANE SCENIC","12,78"
"SEAT AROSA 1.0 5V","8,77"
"PEUGEOT 306 SEDAN BLD","13,31"
"OPEL CORSA 3P TOP 100","9,79"
"LAND ROVER 88","14"
"SEAT 127","8,26"
"FIAT REGATA","11,6"
"FORD MONDEO","13,31"
"PEUGEOT 2008 ALL BLUEHD","11,47"
"FORD FIESTA 1.1","9"
"RENAULT MEGANE 1.9D","12,79"
"AUSTIN METRO","10,44"
"FORD ESCORT","12,3"
"RENAULT 5 TL","9,9"
"PEUGEOT 306 STYLE D","12,93"
"PEUGEOT 505 SRD","14,49"
"FORD FIESTA","9,39"
"PEUGEOT 405 GLD","12,93"
"SEAT 600-E","7,49"
