Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Grupo de edad;Total
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Mujeres;de 25 a 34 años;19.379
Total Nacional;06 Cantabria;;Ambos sexos;menores de 1 año;5.484
Total Nacional;06 Cantabria;;Ambos sexos;de 85 a 89 años;62.509
Total Nacional;06 Cantabria;;Hombres;de 45 a 54 años;41.439
Total Nacional;06 Cantabria;;Mujeres;de 5 a 14 años;3.336
Total Nacional;06 Cantabria;;Mujeres;de 95 años y más;9.410
Total Nacional;07 Castilla y León;;Ambos sexos;de 65 a 74 años;469.805
Total Nacional;07 Castilla y León;;Hombres;de 25 a 34 años;33.520
Total Nacional;07 Castilla y León;;Mujeres;menores de 1 año;13.737
Total Nacional;07 Castilla y León;;Mujeres;de 85 a 89 años;177.217
Total Nacional;07 Castilla y León;05 Ávila;Ambos sexos;de 45 a 54 años;9.777
Total Nacional;07 Castilla y León;05 Ávila;Hombres;de 5 a 14 años;814
Total Nacional;07 Castilla y León;05 Ávila;Hombres;de 95 años y más;1.393
Total Nacional;07 Castilla y León;05 Ávila;Mujeres;de 65 a 74 años;24.552
Total Nacional;07 Castilla y León;09 Burgos;Ambos sexos;de 25 a 34 años;12.482
Total Nacional;07 Castilla y León;09 Burgos;Hombres;menores de 1 año;2.925
Total Nacional;07 Castilla y León;09 Burgos;Hombres;de 85 a 89 años;14.933
Total Nacional;07 Castilla y León;09 Burgos;Mujeres;de 45 a 54 años;14.442
Total Nacional;07 Castilla y León;24 León;Ambos sexos;de 5 a 14 años;3.670
Total Nacional;07 Castilla y León;24 León;Ambos sexos;de 95 años y más;16.676
Total Nacional;07 Castilla y León;24 León;Hombres;de 65 a 74 años;50.778
Total Nacional;07 Castilla y León;24 León;Mujeres;de 25 a 34 años;8.338
