MODELO,KG_CARGA
"MITSUBISHI L 200","1.225"
"IVECO 35,8,1","1.500"
"FIAT DUCATO MAXI","1.785"
"BARRERIROS 2626","14.400"
"AVIA 5000 L","4.500"
"NISSAN VANETTE CARGO","495"
"MERCEDES-BENZ 312 D","1.135"
"FORD TRANSIT F 100 MI","963"
"PEGASO 1086 52","23.500"
"RENAULT KANGOO","625"
"SKODA PICKUP 1.9D","605"
"PEGASO 1090-V","7.700"
"NISSAN CABSTAR E","1.125"
"NISSAN VANETTE","675"
"NISSAN CABSTAR E","1.055"
"FIAT DOBLO","555"
"RENAULT EXPRESS 1.2","545"
"MERCEDES-BENZ MB 120","1.130"
"NISSAN TERRANO II","720"
"MERCEDES-BENZ 207 D","640"
"IVECO MP380E42W","13.960"
"RENAULT R 4 EXPRES CO","575"
"IVECO MP410E42W","16.350"
"FORD COURIER 1,8 D","550"
"MERCEDES-BENZ 312 D","1.355"
"IVECO MP240E34","1.750"
"MERCEDES-BENZ 1114","6.215"
"BARREIROS 8235","14.000"
"PEUGEOT PART CBPRO 1.","634"
"TOYOTA 4 RUNNER","680"
"RENAULT EXPRESS","575"
"IVECO MP190E35W","5.315"
"LAND ROVER 109 DIESEL","1.000"
"MERCEDES-BENZ 109CDI","895"
"CITROEN C 15 D","600"
"MERCEDES-BENZ 112CDI","900"
"OPEL KADETT","625"
"CITROEN 25 D","1.700"
"PEGASO 1065-BL-1","9.500"
"NISSAN ECO-T.100","2.830"
"NISSAN CABSTAR E","1.345"
"PEGASO 1187 10","25.050"
"NISSAN CABSTAR E","1.130"
"M.A.N. 26.314 FNCL","14.440"
"MERCEDES-BENZ L 407 D","800"
"MERCEDES 1120","2.000"
"M.A.N. 33364DFAK","11.890"
"BARREIROS 4220","11.000"
"NISSAN PATROL","705"
"AVIA","2.700"
"RENAULT KANGOO","625"
"NISSAN PICK UP 2 5T","615"
"FORD TRANSIT C 409","1.800"
"FORD FORD COURIER","550"
"RENAULT R EXPRESS","525"
"JEEP-VIASA COMANDO HDI","800"
"IVECO 50C13","940"
"PEUGEOT PARTNER","649"
"CITROEN C 15 RD","570"
"DAF FA 600","2.600"
"MERCEDES-BENZ 1726","16.274"
"PEUGEOT PARTNER USPA","655"
"SUZUKI SAMURAI","360"
"PEUGEOT PARNET USPA HD","655"
"IVECO 29L10","1.300"
"FIAT SCUDO FURGON 1.9","810"
"IVECO ML100E18P","3.490"
"IVECO 35C11 CON GRUA","460"
"MERCEDES BENZ MB 120 TE","1.290"
"LAND ROVER 88 DIESEL","670"
"RENAULT 260,18","12.750"
"RENAULT KANGOO","570"
"PEUGEOT BOX 270 CS 1,9","1.100"
"CITROEN BERLINGO 1.9","780"
"RENAULT EXPRESS D","575"
"LAND ROVER 88 DIESEL","670"
"CITROEN C15RD","570"
"FIAT DOBLO 1.3","625"
"VOLKSWAGEN KOMBI 1,9","1.068"
"CITROEN BERLINGO","499"
"MERCEDES-BENZ 208 CDI","925"
"RENAULT TRAFIC","1.023"
"VOLKSWAGEN TRANSPORTER","913"
"NISSAN VANETTE","800"
"RENAULT 430 18","2.780"
"IVECO MP410E35H","15.840"
"IVECO 35C13","720"
"CITROEN C 15 D","680"
"CITROEN C-15","560"
"MITSUBISHI L-200","1.080"
"IVECO 38 8.1","1.345"
"PEUGEOT PARTNER","800"
"LAND ROVER 109","1.000"
"SAVA COMBI","600"
"MERCEDES-BENZ 1317 BASC CON GRUA","6.010"
"MITSUBISHI L200","1.225"
"NISSAN PATROL GR","570"
"FORD TRANSIT","742"
"RENAULT 250 18","10.185"
"PEUGEOT EXPERT","849"
