_id,ANO,TIPO,ORGANISMO,POBLACION,ENTIDAD,AREA DE GASTO,POLITICA DE GASTO,GRUPO DE PROGRAMAS,PROGRAMAS,SUBPROGRAMAS,CLAS. ECONOMICA,CREDITOS INICIALES,CREDITOS DEFINITIVOS,EJECUTADO,PAGADO,PAGADO EJERCICIO CERRADO
200,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,5 - INGRESOS PATRIMONIALES,53 - Dividendos y participación beneficios,"534 - De Sociedades mercantiles, entidades públicas empresariales y otros organismos públicos",53400 - De sociedades y entidades dependientes de las entidades locales,50000,50000,129108.52,129108.52,0
210,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,5 - INGRESOS PATRIMONIALES,55 - Productos de concesiones y aprovechamientos especiales,551 - De concesiones administrativas con contraprestación no periódica,55101 - OTRAS CONCESIONES,45000,45000,28605.29,19640.1,30622.76
220,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,7 - TRANSFERENCIAS DE CAPITAL,72 - De la Administración del Estado,720 - De la Administración General del Estado,72003 - De la Administyración del Estado,0,0,0,0,0
230,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,7 - TRANSFERENCIAS DE CAPITAL,75 - De Comunidades Autónomas,750 - De la Administración General de las Comunidades Autónomas,75001 - DE  LA ADMON GRAL DE LAS CC.AA.,0,0,0,0,0
240,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,7 - TRANSFERENCIAS DE CAPITAL,75 - De Comunidades Autónomas,750 - De la Administración General de las Comunidades Autónomas,75032 - DE LA ADMINISTRACIÓN GENERAL DEL PP.AA.,0,0,0,0,0
250,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,7 - TRANSFERENCIAS DE CAPITAL,77 - De empresas privadas,770 - De empresas privadas,77001 - De Empresas privadas,0,0,0,0,0
260,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,II - Ingresos financieros,III - Ingresos financieros,8 - ACTIVOS FINANCIEROS,80 - Enajenación de deuda del sector público,800 - Enajenación de deuda del sector público a corto plazo,80020 - De Entidades locales,0,0,0,0,0
270,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,II - Ingresos financieros,III - Ingresos financieros,8 - ACTIVOS FINANCIEROS,83 - Reintegros de préstamos de fuera del sector público,830 - Reintegros de préstamos de fuera del sector público a corto plazo,83000 - REINTEGRO ANTICIPOS DEL PERSONAL,150000,150000,148059.58,148059.58,0
280,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,II - Ingresos financieros,III - Ingresos financieros,9 - PASIVOS FINANCIEROS,91 - Préstamos recibidos en euros,913 - Préstamos recibidos a largo plazo de entes de fuera del sector público,91307 - PRESTAMO INVERSIONES 2006,0,0,0,0,0
290,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,II - Ingresos financieros,III - Ingresos financieros,9 - PASIVOS FINANCIEROS,91 - Préstamos recibidos en euros,913 - Préstamos recibidos a largo plazo de entes de fuera del sector público,91317 - PRESTAMO INVERSIONES 2017,0,3864587.76,0,0,0
