MODELO,CABALLOS_FISCALES
"FORD FIESTA 1,4","10,71"
"CITROEN AX 15D IMAGE","11,32"
"PEUGEOT 206 3P XS PS 75","10,57"
"MERCEDES-BENZ 300 D","19,95"
"PEUGEOT 106 L.BEACH 1.1","9,42"
"VOLVO 6442902121","13,11"
"OPEL ZAFIRA","13,3"
"CITROEN SAXO 15D SX","11,32"
"SEAT IBIZA II","10,7"
"CITROEN XSARA","13,3"
"TOYOTA TOYOTA RAV4","13,3"
"RENAULT 5 FIVE","10,7"
"CITROEN DYANE 6","4,91"
"MERCEDES BENZ 811 D","20"
"SUZUKI LIANA","11,58"
"CITROEN JUMPY 2.0 HDI","13,3"
"HYUNDAI ACCENT","10,47"
"SEAT 127","8,26"
"SEAT LEON 1.9 TDI 5V","12,89"
"VOLKSWAGEN GOLF 1.9 TDI 5V 2P","12,89"
"MERCEDES B 190E","13,2"
"LADA VAZ 2121","11,5"
"PEUGEOT 405 SRD","12,38"
"CITROEN XANTIA 1.9SD-","12,93"
"RENAULT MEGANE","12,78"
"VOLKSWAGEN GOLF 1.6","11,63"
"FIAT UNO TURBO","10,2"
"A.U.D.I. COUPE INY","15"
"SEAT CORDOBA 1,9 TDI","12,89"
"AUDI A4 1.8 QUAT","14,42"
"RENAULT CLIO 1.9D","12,79"
"FORD FOCUS 1.6","11,63"
"RENAULT 19","10,7"
"PEUGEOT 306 STYLE TD","12,93"
"PEUGEOT 106 1.5D","11,32"
"FORD FIESTA 1 8 I","12,48"
"OPEL ASTRA","11,64"
"SEAT 131 DIESEL","15,02"
"SEAT LEON","12,89"
"OPEL ZAFIRA-A","13,98"
"MERCEDES BENZ","18,57"
"PEUGEOT 406 STDT HDI","13,31"
"OPEL VECTRA","14,08"
"PEUGEOT 406 1.8","12,29"
"PEUGEOT 205 GT","10"
"OPEL VECTRA-B","13,3"
"VOLKSWAGEN BEETLE","12,89"
"FORD FOCUS","12,3"
"RENAULT MEGANE SCENIC","12,78"
"OPEL CORSA","11,64"
"VOLKSWAGEN PASSAT 1.9 TDI","12,89"
"A.U.D.I. A4 1.9 TDI","12,89"
"CITROEN XSARA 1.6I 16V","11,59"
"VOLKSWAGEN GOLF 1.9 T","12,89"
"CITROEN SAXO 1,1 I MONACO","9,42"
"PEUGEOT 206 XTD 1.9","12,78"
"A.U.D.I. A4 1.8 5V","12,42"
"FORD MONDEO 5 PUERTAS","12,31"
"NISSAN ALMERA 4P 2 2D","14,04"
"JAGUAR X TYPE 2 5 V6 EXEC","17,89"
"PEUGEOT 206 XT HDI","13,31"
"PEUGEOT 306 SEDAN","12,93"
"CITROEN AX 1.4I","10,56"
"CITROEN XSARA 1.6","11,59"
"MERCEDES-BENZ C200","13,91"
"PEUGEOT 3065 GRAFFIC","12,93"
"CHRYSLER 2 L","13,3"
"PEUGEOT 206 XR","9,42"
"SEAT CORDOBA 1.9TDI 4","12,89"
"NISSAN ALMERA","11,63"
"CITROEN ZX 1.9D TONIC","12,93"
"RENAULT-19","10,7"
"VOLKSWAGEN T4 25 TDI 5V MULTIVAN","16,48"
"PEUGEOT 306 5P BOUL.2","13,31"
"PEUGEOT 206 3P XR 60","9,42"
"PEUGEOT 205 GTX","11"
"AUDI A4 1.9 TDI","12,89"
"SAAB 9-3. 4P MAN","13,99"
"A.U.D.I. A6 1.9","12,89"
"BMW","12,48"
"SEAT 131/1600","11,6"
"RENAULT 5 TL","8,5"
"SEAT IBIZA II 1.9","12,89"
"CITROEN SAXO 1.5D SX","11,32"
"VOLKSWAGEN PASS","12,43"
"CITROEN XSARA 19TD VT","12,93"
"SEAT 850 E.","7,92"
"SKODA OCTAVIA","12,89"
"OPEL ASCONA C 1600","11,64"
"RENAULT MEGANE COUPE","13,3"
"FORD FOCUS","12,3"
"VOLKSWAGEN GOLF 1.6","11,63"
"SEAT CORDOBA","10,7"
"TOYOTA AVENSIS","11,64"
"RENAULT MEGANE CLASSI","12,79"
"FIAT TIPO 14","10,62"
"MERCEDES-BENZ ML 270 CDI","17,38"
"VOLKSWAGEN POLO 1.9 D 2P","12,89"
"VOLKSWAGEN POLO 1.4","9,67"
"FIAT STILO","12,95"
