MODELO,KG_CARGA
"TRAYL-ONA GONDOLA EXTENSIBLE","40.170"
"BURSTNER 570TF","201"
"FEBA F22-1600PV","1.600"
"BURSTNER 560TK","125"
"COVASA CV41DC02 AFI58 350","300"
"GUILLEN LONA CORREDERA","28.500"
"SIN MARCA TAMON C 30","4.045"
"KNAUS R1E88","500"
"FORT F 7500","1"
"GONZALEZ G-5","4.250"
"LEIRO ADRIANA","500"
"ROLLER SEVILLA 490 CP","260"
"J. GARCIA PLATAFORMA","673"
"ALZAGA DEF-32 RB BASCULANTE","800"
"BASBEN BSB3-4.5","30.000"
"HYMER ERIBA-FUTURE 380","100"
"ACEVEDO RC A","560"
"ADRIA JAZZ0490 PU","104"
"FENDT TENDENZA 465 SFB","100"
"SIN MARCA 2EF3500 T ORENSANOS","400"
"SIN MARCA APOLINAR PA","9.420"
"VIMARA VIMARA 450TF","160"
"ROLLER PRINCESS 490CP","270"
"VEDAT VT6024","100"
"HOBBY PRESTIGE 545","120"
"REMOL-CAR RDI-23","481"
"ROLLER PRINCESS 495","290"
"IFOR WILLIAMS IFOR WI","2.730"
"MONTENEGRO","20.000"
"GALAGRI GRC 330","4.173"
"ACEVEDO 6000","110"
"KNAUS BLUE LINE 550 TKM","150"
"ALZAGA DEF 600","1.350"
"J.B. J B MG-22","1.766"
"KNAUS AZUR 540","310"
"SIN MARCA DESCONOCIDO","16.959"
"FENDT SAMPHIR 410 Q","215"
"KNAUS SUDWIND 550 FSK/QSK/QK","125"
"KNAUS SPORT 450 FU","100"
"ARANGO 4 T","3.050"
"ROMAY RA 60F","5.090"
"SIN MARCA 5T","4.100"
"KNAUS VIMARA 450 FU","100"
"CARRARO CRP-1200 120","1"
"BURSTNER FUN 480 TK","100"
"SIN MARCA INFOR WILLIAMS","1.735"
"BENACAR 2006 S.L. TB602535","500"
"TAMAME GAN","1.350"
"KNAUS SUDWIND 550 TK","125"
"CARRUXO CC 2","5.000"
"TRAYLENA GONDOL","20.900"
"SALAS ENS","2.020"
"MONCAYO 430 CPE","100"
"CONAN CN22.90","2.080"
"KNAUS SUDWIND 495 TF","100"
"JJP RT 2514","2.360"
"MONCAYO 495 CP ORO","180"
"LORD MUNSTERLAN 490","275"
"LACASTA P 11","3.200"
"COMPAR CM-16 CISNE","2.800"
"MOTOCULTOR","16.959"
"CARRUXO CC2","5.000"
"KNAUS SUDWIND 650 TK","150"
"KNAUS W04","330"
"BENACAR 2006 S.L. TB602535","700"
"ALCE FERIANTE","170"
"ROLLER CLASS 460 DD","280"
"LOUREIRO L.2","500"
"GOLDONI DESCONOCIDO","700"
"REMOL-CAR RDG 30","600"
"ANDO TAH-1","3.600"
"UNAPRINSA 3T","2.201"
"IFOR WILLIAMS","1.920"
"JJP RT 2513","2.360"
"DETHLEFFS RALLY NOMAD","290"
"ROLLER PRINCESS 680LU","360"
"BF 1000","740"
"ESVA EV-TARB-40","100"
"DETHLEFFS CAMPER 500SK","125"
"KNAUS SUDWIND 400 TS","100"
"SUAREZ AS E 5000","4.250"
"DAF","32.000"
"KNAUS SPORT 500FU","325"
"KNAUS SUDWIND 500 TKM","125"
"IFOR WILLIAMS BV106G","2.175"
"SIN MARCA JEBLA 3016","1.010"
"INBA IN1400B","860"
"ADRIA ALTEA 462 PK","350"
"ACEVEDO FE-80","600"
"ATM OKHSL 24-365","25.980"
"ACEVEDO FE-60","500"
"BURSTNER 585","700"
"ACERBI SP-22","24.000"
"ALCE VAHN 3","1.820"
"KNAUS EURO STYLE 550","100"
"KNAUS SUDWIND 530","380"
"SICAL SS3P","30.060"
"ADRIA ADORA 593 UP","210"
"HYMER ERIBA TOURING G","75"
"ROLLER JAZZ 42L","100"
