dispositivo;sexo;edad;intervalo_edad;nivel_educativo;zona;municipio;distrito;habitantes;P1#1;P1#2;P1#3;P1#4;P1#5;P1#6;P1#7;P1#97;P2#1;P2#2;P2#3;P2#4;P2#5;P2#6;P2#96;P2#96#value;P3_1;P3_2;P3_3;P3_4;P3_5;P3_6;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P6;P7;P8#1;P8#2;P8#3;P8#4;P8#5;P8#6;P8#7;P8#8;P8#9;P8#10;P8#11;P9_1;P9_2;P9_3;P9_4;P9_5;P9_6;P9_7;P9_8;P9_9;P9R_1;P9R_2;P9R_3;P10_1;P10_2;P10_3;P10_4;P10_5;P10_6;P10_7;P11;P12;P13_1;P13_2;P13_3;P13_4;P13_5;P13_6;P13_7;P13_8;P13_9;P14_1;P14_2;P15_1;P15_2;P15_3;P16_4;P16_5;P16_6;P16_7;P17_1;P17_2;P17_3;P17_4;P17_5;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P18_8;P18_9;P19;P20;P21;P22;CAMBIO_20240717;CAMBIO_20240723;CAMBIO_20240724
Mobile;Masculino;67;65_+;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Latina;;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;;9;8;5;9;8;0 No me interesa en absoluto;7;7;0 No me interesa en absoluto;9;0 No me interesa en absoluto;7;4;4;10 Es muy importante;De 3 meses a menos de 1 año;Extranjero;0;1;0;0;0;0;0;0;0;0;0;;;;;;3;1,0;2;;Por el valor histórico;Por su belleza;Que sea gratuito;7;8;7;6;6;8;5;8;Ns/nc;No;Sí;Sí;No;No;Sí;No;No;No;Nunca;Hace más de 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No estoy interesado;No estoy interesado;;;En el último año;;6;4;6;6;5;;9;3;;;8;;;;Ns/nc;Jubilado/a o pensionista (anteriormente he trabajado);No;Muy superiores (más del doble);;;
Mobile;Masculino;26;25_34;Tercer Grado (Máster);Madrid Sur;Parla;;100.001-500.000;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;;6;7;8;5;4;3;3;5;6;9;7;3;3;9;10 Es muy importante;Hace menos de 3 meses;Extranjero;0;0;0;0;0;0;0;1;0;0;0;;;;;;3;1,0;2;;Por el valor histórico;Por su belleza;Que sea gratuito;2;7;6;8;3;3;2;4;Lo que no se puede cuantificar ni almacenar, como una danza o un olor;Sí;Sí;No;No;No;Sí;No;Sí;No;Hace más de 1 mes, pero menos de 1 año;Nunca;No estoy interesado;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No estoy interesado;;;Nunca;;4;3;8;6;5;7;3;;;;7;;8;;No se me ocurre nada;Trabajo;No;Alrededor de esa cifra;1,0;;
Desktop;Femenino;26;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Villaverde;;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;6;0 No me interesa en absoluto;0 No me interesa en absoluto;6;7;0 No me interesa en absoluto;6;8;0 No me interesa en absoluto;6;0 No me interesa en absoluto;0 No me interesa en absoluto;0 No me interesa en absoluto;0 No me interesa en absoluto;8;De 3 meses a menos de 1 año;Extranjero;0;0;0;0;0;0;0;0;1;0;0;;;;1,0;;2;;3;;Que aparezca en las guías;Que sea gratuito;Por su belleza;5;6;6;0 Nada necesario;0 Nada necesario;6;6;8;algo importante que no se puede tocar;No;Sí;No;No;No;Sí;No;No;Sí;Nunca;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;Nunca;;10 Estoy muy de acuerdo;6;9;8;8;;8;;;;8;;;7;no se me ocurre nada;Trabajo;No;Superiores;;;
Mobile;Masculino;53;45_54;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Norte;San Agustín del Guadalix;;10.001-20.000;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;10 Me interesa muchísimo;9;7;10 Me interesa muchísimo;9;5;7;8;4;8;3;4;0 No me interesa en absoluto;7;10 Es muy importante;Hace más de 3 años;Extranjero;0;0;0;0;0;1;0;0;0;0;1;;1,0;;;;3;2,0;;;Que ofrezca actividades para toda la familia;Por el valor histórico;Que sea gratuito;10 Totalmente necesario;10 Totalmente necesario;8;0 Nada necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;0 Está muy mal conservado;No lo sé;Sí;No;Sí;Sí;No;Sí;No;No;Sí;Hace entre 1 y 5 años;Nunca;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Hace más de 5 años;;Hace más de 5 años;;5;5;5;5;5;0 Escaso fomento y protección;;3;4;;8;;;0 Escaso fomento y protección;Rutas senderismo por parajes singulares;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;1,0;;
Mobile;Femenino;35;35_44;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Sur;Getafe;;100.001-500.000;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;9;0 No me interesa en absoluto;3;9;9;7;3;5;5;3;1;1;0 No me interesa en absoluto;5;9;Hace más de 3 años;Extranjero;0;0;0;0;0;0;0;1;0;0;0;;;2,0;;;1;3,0;;;Que sea gratuito;Que sea Patrimonio Mundial;Por el valor histórico;5;5;5;5;5;5;5;6;No se;Sí;No;No;No;No;Sí;No;No;No;Hace 1 mes o menos;Nunca;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;5;9;7;5;4;9;;;;;9;;;;No lo sé;Trabajo;Sí, tengo menores/s de edad a mi cargo;Inferiores;1,0;;
Mobile;Masculino;42;35_44;Tercer Grado (Máster);Madrid Capital;;Usera;;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;;8;7;7;8;8;4;7;7;3;8;5;7;8;5;7;De 3 meses a menos de 1 año;Resto España;1;0;0;0;0;0;0;0;0;0;0;;;1,0;;;;3,0;2;;Que sea Patrimonio Mundial;Por su belleza;Por el valor histórico;6;7;7;7;8;7;7;7;Algo que no es físico, por ejemplo el flamenco;Sí;No;Sí;No;No;Sí;Sí;No;No;Hace entre 1 y 5 años;Hace más de 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;Hace más de 5 años;7;5;6;6;6;3;;6;;;6;6;;;Los barquillos y organistas;Trabajo;No;Muy superiores (más del doble);;;
Desktop;Masculino;67;65_+;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Usera;;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;Hace más de 3 años;Resto Comunidad de Madrid;0;0;0;0;0;0;0;0;1;0;0;2;;;;;1;;;3,0;Que sea gratuito;Que esté cerca;Que forme parte de una tradición con la que me identifique;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;No lo sé / Prefiero no contestar;nada;Sí;Sí;No;No;No;No;No;No;No;Nunca;Hace más de 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;;;4;4;4;4;4;5;5;;;;;;;;nada;Jubilado/a o pensionista (anteriormente he trabajado);No;Alrededor de esa cifra;;;
Mobile;Femenino;70;65_+;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Hortaleza;;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;;9;9;5;9;9;5;8;8;5;9;7;7;6;9;10 Es muy importante;De 3 meses a menos de 1 año;Madrid capital;0;0;0;0;0;0;0;1;0;0;0;;;;3,0;;;1,0;2;;Por el valor histórico;Por su belleza;Que aparezca en las guías;9;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;9;9;Experiencia heredada;Sí;Sí;Sí;Sí;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace entre 1 y 5 años;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;Nunca;;En el último año;;9;9;9;8;9;10 Excelente fomento y protección;10 Excelente fomento y protección;7;8;;10 Excelente fomento y protección;;8;;Todas las técnicas manuales artesanales;Jubilado/a o pensionista (anteriormente he trabajado);No;Muy superiores (más del doble);;;
Desktop;Masculino;44;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Arganzuela;;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;;6;6;5;6;8;3;6;8;4;6;4;6;6;5;8;Hace menos de 3 meses;Extranjero;1;0;0;0;0;0;0;1;0;0;0;;;2,0;;;;3,0;1;;Por su belleza;Que sea Patrimonio Mundial;Por el valor histórico;7;7;6;5;7;7;6;7;Tradiciones culturales;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Nunca;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;7;5;6;6;6;8;8;4;;;5;;;;Gastronomía;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;;;
Desktop;Femenino;24;18_24;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Capital;;Ciudad Lineal;;1;1;0;1;1;1;1;0;1;0;1;0;0;1;0;;7;6;9;5;8;3;6;5;5;9;7;7;8;6;9;De 3 meses a menos de 1 año;Madrid capital;0;0;0;0;0;0;0;1;0;1;0;;;;;3,0;;1,0;2;;Por el valor histórico;Por su belleza;Que me lo hayan recomendado;5;8;8;8;6;8;8;3;Todo aquello que no obedece a lo tangible, como puedan ser tradiciones reales, cocina o expresiones de socialización cultural en barriadas.;Sí;Sí;Sí;Sí;No;Sí;No;Sí;Sí;Nunca;Nunca;No estoy interesado;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Nunca;;En el último año;;8;6;8;8;8;9;9;1;4;;4;;2;1;"Cualquier elemento salvo el flamenco, que es de Andalucía o del Madrid de los 50s (a no ser que se potencie el nuevo flamenco de fin de siglo en áreas como Vallecas). Lo mismo con los toros, a los que nadie va a ver si no es para hacer chanchullos. Lo que se debería proteger, si vamos a hacer el juego del flamenco, es proteger y potenciar un deporte nacional como es la pelota vasca, creando espacios buenos de juego en cada barrio; potenciándolo y olvidando ese deporte de ingleses, que no trae más que borrachos.";Parado/a y he trabajado antes;No;Superiores;;;
