ID_EXPEDIENTE;DS_ESTADO;FC_SOLICITUD;TL_FECHA_INI_PER;TL_FECHA_FIN_PER;TL_MUN_INTER;TLLOCALIDAD_AFEC1;TLLOCALIDAD_AFEC2;TLLOCALIDAD_AFEC3;TLLOCALIDAD_AFEC4;TLLOCALIDAD_AFEC5;TLLOCALIDAD_AFEC6;TLLOCALIDAD_AFEC7;ITCAUSAS_EXPO;TL_CAUSA_FM;TL_CAUSA_ECO;ITCAUSAS_OR;TL_CAUSA_TEC;TL_CAUSA_PRO;TL_CNAE_09;DSCNAE;NUM_TRAB_PLANT;NUM_TRAB_AFECT;TL_MED_SUSP;TL_MED_RED;TL_MED_EXT
09/2874/00222.8/2023;Iniciado;2023-06-13 19:22:55.0;14/07/2023;30/06/2024;Madrid;MADRID;;;;;;;OTRAS;NO;NO;NO;SI;NO;4636;Comercio al por mayor de azúcar, chocolate y confitería;569;72;NO;NO;SI
09/2874/00232.1/2023;Iniciado;2023-06-21 14:02:23.0;30/06/2023;30/06/2023;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;5610;Restaurantes y puestos de comidas;7;7;NO;NO;SI
09/2874/00242.3/2023;Finalizado;2023-06-27 17:44:55.0;01/07/2023;31/12/2023;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;4511;Venta de automóviles y vehículos de motor ligeros;15;11;SI;NO;NO
09/2874/00252.5/2023;Finalizado;2023-07-03 17:39:16.0;01/07/2023;31/12/2023;Madrid;MADRID;;;;;;;OTRAS;NO;NO;NO;NO;NO;9499;Otras actividades asociativas n.c.o.p.;9;9;SI;NO;NO
09/2874/00262.7/2023;Iniciado;2023-07-11 17:07:42.0;10/07/2023;31/03/2024;Madrid;TALAMANCA DEL JARAMA;;;;;;;OTRAS;NO;SI;NO;NO;NO;4730;Comercio al por menor de combustible para la automoción en establecimientos especializados;4;4;SI;NO;NO
09/2874/00272.0/2023;Iniciado;2023-07-17 21:15:47.0;17/08/2023;17/08/2023;San Fernando de Henares;SAN FERNANDO DE HENARES;;;;;;;OTRAS;NO;SI;NO;NO;NO;4634;Comercio al por mayor de bebidas;7;7;NO;NO;SI
09/2874/00282.2/2023;Finalizado;2023-07-21 12:01:04.0;09/07/2023;26/01/2024;Madrid;Madrid;;;;;;;FM;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;19;19;SI;NO;NO
09/2874/00292.4/2023;Finalizado;2023-07-27 18:49:34.0;01/08/2023;30/09/2023;Madrid;MADRID;;;;;;;FM;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;13;8;SI;NO;NO
09/2874/00302.7/2023;Finalizado;2023-08-07 15:49:51.0;08/08/2023;31/08/2023;Madrid;ALCOBENDAS;;;;;;;FM;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;4;4;SI;NO;NO
09/2874/00312.0/2023;Iniciado;2023-08-21 15:18:24.0;15/09/2023;20/09/2023;Madrid;MADRID;MADRID;MADRID;;;;;OTRAS;NO;SI;NO;NO;NO;5610;Restaurantes y puestos de comidas;18;18;NO;NO;SI
09/2874/00322.2/2023;Iniciado;2023-09-01 12:15:09.0;04/09/2023;01/10/2023;Leganés;MARID;;;;;;;OTRAS;NO;NO;NO;NO;NO;5629;Otros servicios de comidas;3;3;SI;NO;NO
09/2874/00332.4/2023;Iniciado;2023-09-13 13:23:57.0;13/10/2023;31/10/2023;Alcobendas;Alcobendas;;;;;;;OTRAS;NO;SI;NO;NO;NO;7111;Servicios técnicos de arquitectura;13;13;NO;NO;SI
09/2874/00342.6/2023;Iniciado;2023-09-19 16:07:17.0;04/09/2023;30/09/2023;Rivas-Vaciamadrid;MADRID;;;;;;;FM;SI;NO;NO;NO;NO;4723;Comercio al por menor de pescados y mariscos en establecimientos especializados;1;1;SI;NO;NO
