inventario_gei_año;inventario_gei_sector_CRF;inventario_gei_categoria_CRF;inventario_gei_actividad_CRF;inventario_gei_contaminante;inventario_gei_Gg_CO2_eq
1994;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.E. Asentamientos;4E23 Pastizales convertidos en asentamientos;CO2;25,4296156468
1994;CRF 5 Residuos;5.A. Depósito en vertederos de residuos sólidos;5A1a Vertederos gestionados Anaeróbicos;CH4;1398,289646096
1994;CRF 5 Residuos;5.D. Tratamiento y eliminación de aguas residuales;5D1 Aguas residuales domésticas;CH4;414,254621872
1995;CRF 1 Energía;1.A. Actividades de combustión;1A2a Hierro y acero;N2O;0,23284914
1995;CRF 1 Energía;1.A. Actividades de combustión;1A2d Pasta de papel, papel e impresión;N2O;1,276068545
1995;CRF 1 Energía;1.A. Actividades de combustión;1A3a Transporte aéreo civil;N2O;4,6438679474
1995;CRF 1 Energía;1.A. Actividades de combustión;1A4a Comercial / institucional;CO2;1251,127565
1995;CRF 1 Energía;1.A. Actividades de combustión;1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo);N2O;0,321116665
1995;CRF 2 Procesos industriales y uso de productos;2.D. Productos no energéticos y uso de disolventes;2D1 Uso de lubricantes;CO2;20,558602
1995;CRF 2 Procesos industriales y uso de productos;2.G. Otras fuentes de emisión de procesos industriales;2G2b Aceleradores;SF6;0,0385463215
1995;CRF 3 Sector agrario;3.A. Fermentación entérica;3A46 Conejos;CH4;0,77783104
1995;CRF 3 Sector agrario;3.D. Suelos agrícolas;3D11 Fertilizantes inorgánicos de N;N2O;20,132005215
1995;CRF 3 Sector agrario;3.F. Quema en el campo de residuos agrícolas;3F13 Maíz;CH4;2,256082136
1995;CRF 3 Sector agrario;3.H. Urea;3H Urea;CO2;2,527543
1995;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.A. Tierras forestales;4A25 Otras tierras convertidas en tierras forestales;CO2;0,0
1995;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.C. Pastizales;4C11 Pastizales que siguen siendo pastizales;CO2;0,1246895231
