MODELO,KG_CARGA
"NOOTEBOOM EURO-60-03","37.600"
"LACASTA AM 15","2.000"
"LECI#ENA SRP 2E PORTACONTENEDOR","28.090"
"MONTENEGRO SHLF-3S","26.250"
"FRUEHAUF 4312 N S 9321","29.060"
"FELDBINDER KIP 60.3","27.550"
"LECIÑENA A 9000 CS M","22.850"
"LECIÑENA AR-13600-CA-NS","26.800"
"MONCAYO PROGRES 520 O","290"
"TRABOSA SNR 343","27.500"
"ACERBI","23.000"
"FARDO MIDI RTO 1X1","101"
"GONZALEZ G6","4.700"
"GUILLEN LONA CORREDERA","27.800"
"INDOX AUTOP. 3 ALECV4","28.250"
"LAMBERET SEMIFRIGO","27.500"
"GRANALU OP 30","29.610"
"PARCISA CPB-3CA SILO BASCULANT","27.900"
"SCHMITZ CARGOBU SKO 24 L-13,4 F","35.000"
"LAVERDA FB12.15 ROTOEMPACADORA","750"
"MONTENEGRO 3120 SHLF-3S/3G","24.500"
"MONTENEGRO SP 3S 13.5 21.5","26.600"
"SCHMITZ SCF24 G40 HAMBU","29.570"
"ADRIA MYSTRA 470","190"
"LECIÑENA SREX-3ED","25.000"
"SPITZER EUROVRAC SK2460CAL","28.570"
"LECSOR LECSOR FB 1360","27.800"
"ACM VQ 24 85 SA3","29.700"
"ALVARADO RTA 1","3.000"
"FRUEHAUF","24.300"
"ACM MLL-106/48 SA3","28.100"
"DAF","23.400"
"MIROFRET TRS 3 1 F13","27.400"
"TRAY-LONA PF130 220 EXT K 21","44.000"
"LECI#ENA SRP 3 ED","27.620"
"ACM VQ 24 85 SA3","29.600"
"LECI#ENA SR-3E EX","29.680"
"TISVOL A-960170-EAL","27.880"
"PARCISA CPB 3CA","27.900"
"TISVOL TISVOL","36.000"
"SPITZER EUROVRAC SK2460CAL","343.570"
"MONTENEGRO SHLF3S/3G","24.460"
"MONTENEGRO SCHC 3S 3G","25.730"
"LECI#ENA SRP 3E","22.940"
"MONTENEGRO SVF-2G/2S","21.780"
"HERMANNS S AL 2C 31 T","30.150"
"JOHN DEERE 852","340"
"SIN MARCA TAMON C 28","3.450"
"BENALU TP 87","28.950"
"CLAAS ROLLANT 340","1"
"LECI#ENA SRE-2E","100"
"J.B. R-1300-4","950"
"FELDBINDER KIP 63 3","27.100"
"MONTULL SPA3S136SN","27.940"
"GUILLEN LONA CORREDERA","28.100"
"LECIÑENA SRE 2 E","25.020"
"FRUEHAUF YCH XA3 85 25","27.400"
"FRUEHAUF","25.250"
"BENALU S/R 3 EJES","27.150"
"FRUEHAUF YCH FA2 73#20","25.470"
"FRUEHAUF FA3-1360-L","25.830"
"GALLIGNANI G 600 S","1"
"SCHMITZ CARGOBULL SCS 24 L 13.62","28.366"
"KNAUS SUDWIND 400FD","310"
"LECITRAILER 3E20","27.435"
"LAMBERET SEMIFRIGO","27.500"
"GALLIGNANI 1600 S","1"
"IBERTRAILER S3PC","31.110"
"LECIÑENA PORTACONTENEDOR","29.040"
"FRUEHAUF 4332-M-D-8725","35.800"
"COBO HERMANOS S SCF 28.1","26.900"
"MONTENEGRO SP 35 3G","25.520"
"MONTULL SPA3S136SN","27.800"
"KOGEL SN24","31.645"
"LECIÑENA SRV 2E","25.450"
"MONTENEGRO SCHB 3S 3G A","29.100"
"GRANALU S3NA","28.780"
"MONTENEGRO SCHF-3S 3G","26.440"
"PRIM-BALL S3E350NSMBPC770","29.000"
"LECIÑENA SREX-3ED","26.660"
"KRONE SD","27.100"
"HERCULANO HSE 5000","5.075"
"SCHMITZ SCS 24L 1362 C","28.640"
"LECITRAILER 3E20","24.855"
"LAMBERET SEMIFRIGO","25.500"
"PRIM-BALL 4OTO","26.755"
"SCHMITZ CARGOBU SCS 24 L-13.62","27.409"
"TOMI TOMI AGRICOLA 0","2.095"
"SCHMITZ CARGOBU SCS 24/L - 13.6","27.760"
"FRUEHAUF SEMI REMOLQUE 3","27.520"
"SCHMITZ SCF 24","29.130"
"NETAM FRUEHAUFF DIVER","33.380"
"KRONE N A","26.776"
"TISVOL AA6 X960180 ECC","28.655"
"SCHMITZ SCS 24ÑL 13.62","28.540"
"LECIÑENA CH 1000 AL N S","28.800"
"LECITRAILER 3E20","29.000"
"IBERTRAILER S3PC","31.110"
"GUILLEN LONA CORREDERA","28.700"
"BASBEN BSB3B-4.5","35.000"
